doc_id,title,source_url,date
doc_01,"Обзор банковского сектора России",https://raexpert.ru/researches/bank_sector_2025/#part8,2025-09-09 
doc_02,"Обзор проектного финансирования",https://raexpert.ru/researches/bank_sector_2025/#part8,2025-09-09
doc_03,"Вербальные интервенции Банка России и структура процентных ставок",https://jet-russia.com/вербальные-интервенции-банка-россии/,2019-04
doc_04,"Уровень обслуживания клиентов в Российских банках. Анализ клиентских данных. Целевой маркетинг и реализация кампаний",https://assets.kpmg.com/content/dam/kpmg/pdf/2015/02/Banking-survey-2015-fin.pdf,2015-02
doc_05,"Факторы формирования лояльности клиентов в банковском секторе России",https://teleskop-journal.spb.ru/files/2024_1_08.pdf,2024-03
doc_06,"Аналитический обзор банковского сектора в 1 квартале 2025 года",https://www.cbr.ru/Collection/Collection/File/55966/analytical_review_bs-2025-1.pdf,2025-06-11
doc_07,"Аналитический обзор банковского сектора во 2 квартале 2025 года",https://cbr.ru/Collection/Collection/File/57227/analytical_review_bs-2025-2.pdf,2025-09-04
doc_08,"Рынок банковских услуг в России: итоги 2023 и прогнозы",https://frankrg.com/wp-content/uploads/2024/02/768e51059531.pdf,2024-02
doc_09,"Private Banking в России 2024",https://frankrg.com/wp-content/uploads/2024/03/2365425ced7f.pdf,2024-03
doc_10,"Мониторинг предприятий: оценки, ожидания, комментарии",https://www.cbr.ru/Collection/Collection/File/59322/1025.pdf,2025-10-15
doc_11,"Развитие банковского сектора России в сентябре 2025 года",https://www.cbr.ru/Collection/Collection/File/59337/razv_bs_25_09.pdf,2025-10-17
doc_12,"Рынок производных банковских инструментов 2025",https://www.cbr.ru/Collection/Collection/File/57267/derivatives_market_2025.pdf,2025-09-17
doc_13,"Рынок производных банковских инструментов 2024",https://www.cbr.ru/Collection/Collection/File/50717/derivatives_market_2024.pdf,2024-10-10
doc_14,"Ключевые факторы капитализации Российских банков в 2024-2025 гг.",https://www.acra-ratings.ru/upload/iblock/71d/sq31m0ovw8l9jzvm8cnn0bpbrgpeuaxi/20250516_RFISA.pdf,2025-05-16
doc_15,"Ключевые факторы рентабельности Российских банков в 2024-2025 гг.",https://www.acra-ratings.ru/upload/iblock/8b3/m6v1x9t6k0qtqjpyjv5im6m5sg6hl4cx/20250320_RFIVP.pdf,2025-03-20
doc_16,"Процентная маржа российских банков в условиях повышения ключевой ставки",https://www.acra-ratings.ru/upload/iblock/b7f/nbbnjqqz58u189lokfc25akfq1m3um0l/20240704_RFIMP.pdf,2024-07-04
doc_17,"Платежный баланс Российской Федерации во 2 квартале 2025г.",https://www.cbr.ru/Collection/Collection/File/57183/Balance_of_Payments_2025-2_23.pdf,2025-08-25
doc_18,"Финансовые рынки в период структурных сдвигов",https://asros.ru/upload/iblock/9d5/g2nf36cli4eajolsa5k8cs5eb96lp9co/AB_broshyura_N8_v.1.20_WEB.pdf,2023-09
doc_19,"Российский банковский сектор: прогноз на 2025 год",https://www.acra-ratings.ru/upload/iblock/4d1/b8tsqo6m6k4ma30ziyy1it62lhk2c3nu/20241227_RFIVP.pdf,2024-12-27
doc_20,"Тренды Российской макроэкономики и рынков в 2025 году",https://asros.ru/upload/iblock/ef9/qddqlccpzuucn7l4g7mc7ymm78x895u3/O-chem-govoryat-trendy.-Iyul-2025.pdf,2025-07
doc_21, "БИЗНЕС-ХАКИ Секретный опыт успешных предпринимателей России. Белов Вадим Юрьевич", -,2019
doc_22,"Самозанятые – новый тренд развития микробизнеса", -,2023-05
doc_23,"Индекс Rsbi",-,2024-11
doc_24,"Годовой отчёт Мтс Россия", -,2024-12
doc_25,"Банковские экосистемы услуг для МСБ", -,2019-08
doc_26,"Банковский сервис для МСБ", -,2020
doc_27,"Кредитование и поддержка финансирования МСП в 1 полугодии 2024", -,2024-08
doc_28,"Кредитование малого бизнеса в России 2023", -,2023
doc_29,"Цифровые продукты малого бизнеса 2022", -,2022
doc_30,"Кредитование и поддержка финансирования МСП в 2024", -,2025-03
doc_31,"Аналитический обзор банковский сектор 4 квартал 2024", -,2025-03
doc_32,"Аналитический обзор банковский сектор 2024 годовой", -,2025-03
doc_33,"Макророст малого бизнеса", -,2023-11
doc_34,"СБП практическая реализация", -,
doc_35,"Годовой отчёт 2024 Bank Association", -,2024
doc_36,"Информационный материал МСП 2023", -,2023
doc_37,"Информационный материал МСП 2024", -,2024
doc_38,"Информационный материал МСП 1 полугодие 2024", -,08-2024
doc_39,"Инновации в России отчёт", -,2024
doc_40,"Разработка и применение СБП в Росбанк", -,2020
doc_41,"Мониторинг Санкт‑Петербург 2025", -,2025-06
doc_42,"Машинное обучение в маркетинге", -,
doc_43,"Программа стимулов кредитования МСП", -,2022-03-15
doc_44,"Итоги наблюдения в национальной платёжной системе 2024", -,2024-12
doc_45,Обзор микрофинансовых инструментов 3 квартал 2024, -,2024
doc_46,"Оценка развития банковских карт", -,
doc_47,"Кредитование мсп 2024", -,2024-12
doc_48,"Оценка цифрового банкинга", -,
doc_49,Тренды 2025 Fintech Association, -,
doc_50,"Стратегия развития МСП", -,2021-06-17
