client_id,variant,status,scored,use_of_context,use_of_context_reasoning,causal_reasoning,causal_reasoning_reasoning,interpretability,interpretability_reasoning,recommendation_quality,recommendation_quality_reasoning,mean_score
C000100,no_graph,done,True,4.0,"Ответ явно использует числовую PSM-оценку, размер выборки и отдельные элементы профиля клиента (малый бизнес, 4 продукта, низкий баланс), а также ссылается на оба RAG-фрагмента. При этом он почти не учитывает специфику отрасли строительства и подменяет релевантность эквайринга общими тезисами про допродажи.",3.0,"Логика в целом последовательна: интервенция связывается с ожидаемым ростом выручки, затем обсуждаются драйверы и риски. Однако причинная интерпретация чрезмерно прямолинейна — PSM-эффект подается как почти гарантированный прирост, без оговорок о том, что это ассоциативная оценка, а RAG используется скорее иллюстративно, чем причинно.",4.0,"Структура ответа хорошая: есть отдельные блоки expected_effect, drivers_pos и drivers_neg, а аргументы достаточно краткие и прослеживаемые. Тем не менее связь между каждым утверждением и источником местами размыта, особенно когда общий бизнес-хак из doc_21 переносится на конкретный эквайринг без пояснения механизма.",3.0,"Рекомендация в целом релевантна запрошенной интервенции, так как эквайринг действительно может быть полезен для активного малого бизнеса с высоким оборотом и низким балансом, если есть платежный поток. Но хеджирование слабое: почти нет проверки соответствия отрасли, каналам продаж и операционной готовности, а вывод о запуске остается слишком общим для принятия решения.",3.5
C000100,no_rag,done,True,2.0,"Ответ действительно опирается на PSM-оценку и частично на профиль клиента, но делает заметные неподтверждённые выводы из графа: в предоставленном DSL нет связей Has_Acquiring -> Monthly_Transaction_Count или Has_Acquiring -> Total_Bank_Profit. Также RAG используется слишком общо и почти не связан с конкретной интервенцией acquiring.",1.0,"Логика частично нарушена: численный эффект из PSM интерпретируется как рост Revenue_Growth_Rate, хотя исходная метрика не уточнена, а причинные связи для acquiring взяты без опоры на граф. Есть и внутренние несоответствия, например Business_Size -> Avg_Monthly_Outflow как 'положительный' фактор подаётся как негатив без объяснения направления эффекта.",3.0,"Структура ответа удобная и тезисы разделены на ожидаемый эффект, драйверы и риски, что повышает читаемость. Однако трассируемость к источникам слабая: часть утверждений не помечена как вывод, часть не подтверждается данными, а формулировки про RAG и граф слишком размыты.",2.0,"Для интервенции acquiring ответ не даёт прикладной рекомендации по продаже/внедрению: нет оценки уместности для строительной компании, требований к обороту, платежной структуре или рисков отказа. Хеджирование есть, но оно поверхностное и не учитывает, что PSM-эффект мал и должен вести к осторожной, сегментной рекомендации.",2.0
C000100,full,done,True,4.0,"Ответ действительно использует все три источника контекста: PSM-оценку, RAG-фрагменты и причинный граф, а также упоминает релевантные признаки профиля (small business, construction, отсутствие acquiring). Однако часть ссылок на RAG довольно общая и местами слабо привязана к именно этому кейсу.",3.0,"Логика в целом осторожная: автор не утверждает прямой каузальный эффект, если его нет в графе, и хеджирует вывод. Но есть методологическая шероховатость: PSM трактуется как почти прямое доказательство роста Revenue_Growth_Rate, хотя это скорее ассоциативная оценка эффекта интервенции, а не строгая причинность для конкретного клиента.",4.0,"Структура ответа ясная: есть ожидаемый эффект, позитивные и негативные драйверы, и каждый блок отделён. Прослеживаемость к источникам в целом хорошая, но формулировки местами слишком обобщённые и не всегда объясняют, почему именно эти RAG-фрагменты релевантны интервенции acquiring.",3.0,"Рекомендация релевантна запрошенной интервенции и аккуратно учитывает ограниченность данных, не обещая гарантированный эффект. Но она недостаточно прикладная: нет конкретного плана внедрения acquiring для construction-сегмента, нет сегментной аргументации и нет явного разборa рисков/условий, при которых оффер стоит делать.",3.5
C000100,no_psm,done,True,2.0,"Ответ частично опирается на контекст: упоминает граф, RAG doc_21 и doc_04, а также текущие продукты клиента. Однако он почти не использует сам профиль клиента и явно искажает RAG, приписывая документу фразы про эквайринг и рост выручки, которых в предоставленном фрагменте нет.",2.0,"Логика местами аккуратна: отмечено отсутствие подтвержденного пути от Has_Acquiring к Revenue_Growth_Rate и сделан cautious/neutral вывод. Но есть существенные проблемы: заявлен неописанный causal path, положительные и отрицательные драйверы противоречат друг другу, а выводы из RAG не связаны с фактическим содержанием фрагмента.",3.0,"Структура ответа понятная: есть expected_effect, drivers_pos и drivers_neg, что облегчает чтение. Но прослеживаемость к источникам слабая из-за неверных цитат и смешения фактов, поэтому интерпретируемость как аналитического вывода ограничена.",2.0,"Для запрошенной интервенции выбран осторожный нейтральный вывод, что в условиях слабых данных допустимо. Однако качество рекомендации снижено тем, что она не опирается на реальные признаки клиента для эквайринга, не формулирует практических условий/ограничений внедрения и содержит неподтвержденные утверждения из RAG.",2.25
C000350,no_psm,done,True,3.0,"Ответ опирается на ключевые входы: профиль клиента, отсутствие PSM, RAG и ограниченность графа. Однако он почти не использует сам клиентский контекст (отрасль, доходы, активность, уже имеющиеся продукты), хотя для оценки payroll-оффера это было бы уместно.",3.0,"Логика в целом аккуратная: при отсутствии явного пути в графе делается осторожный вывод о нейтральном эффекте. Но есть методологическая слабость — игнорируется, что в графе вообще не показана связь New_Product_Offer с целевой метрикой, а не только именно payroll, и RAG трактуется слишком общо.",4.0,"Структура ответа понятная: expected_effect, drivers_pos, drivers_neg. Прослеживаемость к источникам частично есть, но формулировки местами расплывчаты, а смешение причинных аргументов с общими фразами из RAG снижает прозрачность.",3.0,"Рекомендация адекватно хеджирована: предлагается тестировать гипотезу и отслеживать метрики вместо бездоказательного утверждения об эффекте. Но она слишком общая и не содержит специфики payroll-оффера для данного среднего healthcare-бизнеса, поэтому практическая полезность ограничена.",3.25
C000100,llm_only,done,True,2.0,"Ответ частично опирается на профиль клиента и на RAG, но делает это поверхностно: используются только общие признаки отрасли и оборота, игнорируются важные поля профиля (тенюр, баланс, поток, уже имеющиеся продукты) и не извлекается содержательный вывод из doc_50. Упоминание doc_03 выглядит нерелевантным к эквайрингу и скорее добавлено как универсальное хеджирование.",1.0,"Логика слабо связана с целевой интервенцией: из того, что у клиента высокий оборот и нет эквайринга, не следует устойчиво положительный эффект без учета структуры платежей, доли безналичных продаж и операционной готовности. Формулировки про «разнонаправленное действие» и «неопределённый эффект» не построены в причинную цепочку и не объясняют механизм влияния эквайринга.",2.0,"Структура ответа формально есть, но поля смешивают эффект, драйверы и источники без четкого разграничения фактов и интерпретаций. Прослеживаемость к источникам слабая: ссылки на профиль и RAG есть, однако конкретные утверждения часто не поддержаны цитатами или явными признаками из данных.",2.0,"Для запрошенного предложения по эквайрингу ответ слишком общий и не дает практической рекомендации по запуску, приоритизации или условиям оффера. При слабых данных допустимо хеджирование, но здесь оно чрезмерное и не использует возможности кейса, например высокую активность клиента и строительную отрасль как основания для теста эквайринга.",1.75
C000350,full,done,True,3.0,"Ответ явно использует PSM-оценку, упоминает ATT/ATE/n_pairs и признаёт, что граф не содержит подтверждённого пути. Однако он почти не опирается на конкретный профиль клиента и местами некорректно интерпретирует RAG как подтверждение именно payroll, хотя тексты говорят в основном о лояльности и доппродажах в целом.",2.0,"Логика частично связна: есть хеджирование неопределённости и разделение на PSM, RAG и граф. Но причинные утверждения о росте выручки от зарплатного проекта слабо обоснованы, а фраза о том, что у графа нет пути, делает позитивные эффекты почти произвольными и не согласованными с causal structure.",3.0,"Структура ответа понятная: есть блок expected_effect и списки drivers_pos/drivers_neg. При этом формулировки местами расплывчаты, смешивают уровни доказательности и не всегда ясно, к какому именно источнику относится каждое утверждение и как оно связано с целевой метрикой.",2.0,"Для запрошенной интервенции ответ не даёт практичной рекомендации по payroll: нет сегментации клиента, аргументации по уместности зарплатного проекта для healthcare-medium, нет действий по внедрению или условий успеха. Хеджирование присутствует, но оно не вполне адекватно, потому что вместо осторожной рекомендации агент выдаёт почти нейтральное резюме без actionable guidance.",2.5
C000720,full,aborted,False,,,,,,,,,
C000720,no_psm,aborted,False,,,,,,,,,
C000720,no_rag,aborted,False,,,,,,,,,
